username,created_at,lng,lat,text, ,,
kaaynguyen, Thu Apr 23 17:33:46 +0000 2020,-122.194398,47.481598, i lost at least 5 years of my life watching this ,,,
teschwindt, Thu Apr 23 17:33:50 +0000 2020,-122.630908,45.536402, Biscuit loves those ,,,
tmj_wat_cstsrv, Thu Apr 23 17:33:55 +0000 2020,-122.228453,47.307323, See our latest #Auburn, WA #CustomerService job opportunity and click the link in our bio to apply: CUSTOMER SERVICE REP - 1007 at Chevron ,,
NancyRomm, Thu Apr 23 17:33:58 +0000 2020,-122.630908,45.536402, @AlfredSchulz @georgeandjacks @vonTrappBrewing @LodgeTavern @keenssteakhouse @RWTheCarlyle Do matchbooks next! (not kidding!) ,,,
chooseyy, Thu Apr 23 17:33:59 +0000 2020,-122.149768,47.597856, @joejonas @kelle_hansman TOUR DOCUMENTARY ,,,
wtfExpo, Thu Apr 23 17:34:07 +0000 2020,-122.330602,47.614817, Edit for @TeamSurgeGGS#SurgeRC #SurgeERC https://t.co/xtZAJg35Hd ,,,
ChrisKr50672344, Thu Apr 23 17:34:13 +0000 2020,-122.702686,47.68374, I’ll second that motion!!! ,,,
_Megladon, Thu Apr 23 17:34:16 +0000 2020,-120.539923,46.993279, I can’t believe people still eat here after the whole ecoli thing like 5 years ago ,,,
SeaTacsFinest, Thu Apr 23 17:34:16 +0000 2020,-122.218075,47.392311, @Joe_Fann Exactly. So I am ready for Darrell Taylor! He looks huge which is good just don't know how good of an Edge he can be. ,,,
Kaelib_l, Thu Apr 23 17:34:17 +0000 2020,-122.630908,45.536402, @knknkanro すごくええやんこれ！載せてくれてありがとう！ ,,,
ahammTNT, Thu Apr 23 17:34:19 +0000 2020,-122.455344,47.24296, I see what you did there.... https://t.co/BKrykUxzE8 ,,,
intowildplaces, Thu Apr 23 17:34:20 +0000 2020,-122.330602,47.614817, @lou_kicks LUKE, PLEASE. I can’t have a crisis before 11:00. Not today. ,,
nucksonthepond, Thu Apr 23 17:34:24 +0000 2020,-122.630908,45.536402, @TheWellKnown As long as we do what the GOP and Dems want and continuing dismissing and ostracizing third parties,… https://t.co/qB9Ed9FCac ,,
hollychavet, Thu Apr 23 17:34:24 +0000 2020,-122.430277,48.753353, @realDonaldTrump fuck you ,,,
RagingDemons, Thu Apr 23 17:34:30 +0000 2020,-122.455344,47.24296, @Rushlemania It could be something else. Like me. Normal milk, without anything in it, does it for me YET anything… https://t.co/gJrs7j9OZl ,
_jaayyyy, Thu Apr 23 17:34:32 +0000 2020,-122.455344,47.24296, @OddCJ @__ml3__ i thought you was the best malik ,,,
KamaraSwaby, Thu Apr 23 17:34:34 +0000 2020,-122.149768,47.597856, Definitely going to order from @openpoetrybooks! It is a home away from home! ,,,
BMeece92, Thu Apr 23 17:34:38 +0000 2020,-122.274055,47.905972, White people get met with an inconvenience that impacts them and acts like everyone has to follow what THEY and onl… https://t.co/7dOMFxr58G ,,,
KierstenConner, Thu Apr 23 17:34:39 +0000 2020,-122.194398,47.481598, Yesterday a Gen X’er got mad at me because she wants to reopen the economy and I told her to give me 5 people she k… https://t.co/qM4PMfDl3n ,,,
gattasurgeon, Thu Apr 23 17:34:39 +0000 2020,-120.882482,47.273022, Special thanks to Lizette Love and Strawberry from Kube 93.3 in Seattle for shedding light on COVID 19 to all the y… https://t.co/vr8vyC1Upm ,,,
itsmikebivins, Thu Apr 23 17:34:40 +0000 2020,-122.630908,45.536402, many of the people who say “we are never going back to normal” clearly haven’t experienced deeply profound shit bef… https://t.co/kRVmheityP ,,,
BMeece92, Thu Apr 23 17:34:40 +0000 2020,-122.274055,47.905972, Lol they really are so delusional it’s dumbfounding 🤦🏽‍♂️ ,,,
greg_mcalindon, Thu Apr 23 17:34:47 +0000 2020,-122.197305,47.092632, @8Nikki3 @SteveMartinToGo 🤣 ,,,
jrfoldes, Thu Apr 23 17:34:47 +0000 2020,-123.370838,48.496225, @Jackson_porter Can I perform the wedding since I got my license online? ,,,
glitzylady, Thu Apr 23 17:34:50 +0000 2020,-122.096397,47.992142, @Vudoobird @shuboogie I have another friend who ordered what she thought was 10 bananas, got 10 pounds. She was thi… https://t.co/9l0oorpdjN ,,
tifftrin, Thu Apr 23 17:34:53 +0000 2020,-122.93553,45.530779, Does someone want to drive up to Portland and take me back home next weekend? 🙃😂 because I’m scared as hell to go back on a plane ,,,
allyct1200, Thu Apr 23 17:34:54 +0000 2020,-120.583402,44.145437, @xEmmyLuna I love the color choices! They bounce off each other very well!! ,,,
sharethecities, Thu Apr 23 17:34:55 +0000 2020,-122.330602,47.614817, My entire Facebook feed is people asking for food or money for food or organizations asking for money and I definit… https://t.co/8MiQsc4ucI ,,,
tmj_WA_secure, Thu Apr 23 17:34:57 +0000 2020,-122.202079,47.978985, Whether you’re new to the security industry or an experienced professional, Allied Universal has open jobs for you!… https://t.co/IxkGpuqb6T ,,
aubrianapaige, Thu Apr 23 17:35:07 +0000 2020,-114.143262,45.494552, really reaaaalllyyyy wanting to go camping 🥺 ,,,
Rickb787, Thu Apr 23 17:35:07 +0000 2020,-122.15057,48.168642, @NYGovCuomo Look who we're talking about here, a selfish, conservative cretin that believes if you don't believe as… https://t.co/bM1NgAACkr ,
TonyPar36282257, Thu Apr 23 17:35:08 +0000 2020,-122.630908,45.536402, @readdork @petewentz @CheapCuts The elderly need housing donated a State Farms requested sex for money for elderly… https://t.co/Ib5yHHXRU3 ,,,
